seed,model,task,method,finetuning_steps,realignment_steps,distinct_realignment_samples,repeated_realignment_samples,train_loss,realignment_loss,task_loss,eval_bg_accuracy,eval_cs_accuracy,eval_de_accuracy,eval_es_accuracy,eval_lv_accuracy,eval_af_accuracy,eval_ar_accuracy,eval_ca_accuracy,eval_da_accuracy,eval_el_accuracy,eval_fa_accuracy,eval_fi_accuracy,eval_fr_accuracy,eval_he_accuracy,eval_hi_accuracy,eval_hu_accuracy,eval_it_accuracy,eval_ja_accuracy,eval_ko_accuracy,eval_lt_accuracy,eval_no_accuracy,eval_pl_accuracy,eval_pt_accuracy,eval_ro_accuracy,eval_ru_accuracy,eval_sk_accuracy,eval_sl_accuracy,eval_sv_accuracy,eval_ta_accuracy,eval_th_accuracy,eval_tr_accuracy,eval_uk_accuracy,eval_vi_accuracy,eval_zh_accuracy,eval_avg_accuracy,eval_same_accuracy,final_eval_bg_accuracy,final_eval_cs_accuracy,final_eval_de_accuracy,final_eval_es_accuracy,final_eval_lv_accuracy,final_eval_af_accuracy,final_eval_ar_accuracy,final_eval_ca_accuracy,final_eval_da_accuracy,final_eval_el_accuracy,final_eval_fa_accuracy,final_eval_fi_accuracy,final_eval_fr_accuracy,final_eval_he_accuracy,final_eval_hi_accuracy,final_eval_hu_accuracy,final_eval_it_accuracy,final_eval_ja_accuracy,final_eval_ko_accuracy,final_eval_lt_accuracy,final_eval_no_accuracy,final_eval_pl_accuracy,final_eval_pt_accuracy,final_eval_ro_accuracy,final_eval_ru_accuracy,final_eval_sk_accuracy,final_eval_sl_accuracy,final_eval_sv_accuracy,final_eval_ta_accuracy,final_eval_th_accuracy,final_eval_tr_accuracy,final_eval_uk_accuracy,final_eval_vi_accuracy,final_eval_zh_accuracy,final_eval_avg_accuracy,final_eval_same_accuracy
31,distilbert-base-multilingual-cased,udpos,before_fastalign,1965,1965,31440,31440,0.061836347,0,0.061836347,0.870643602,0.841188536,0.886954448,0.855477665,0.776236952,0.865176354,0.649247011,0.878218607,0.880474908,0.783904893,0.72172418,0.844277318,0.863371528,0.646196513,0.713434942,0.81270935,0.855836471,0.547909474,0.604692986,0.774705015,0.905359407,0.828653261,0.835792536,0.837682225,0.840927048,0.840107362,0.826111664,0.900288184,0.547368421,0.520970413,0.704434641,0.847167172,0.569552488,0.662837163,0.774695081,0.960206048,0.870643602,0.841188536,0.886954448,0.855477665,0.776236952,0.865176354,0.649247011,0.878218607,0.880474908,0.783904893,0.72172418,0.844277318,0.863371528,0.646196513,0.713434942,0.81270935,0.855836471,0.547909474,0.604692986,0.774705015,0.905359407,0.828653261,0.835792536,0.837682225,0.840927048,0.840107362,0.826111664,0.900288184,0.547368421,0.520970413,0.704434641,0.847167172,0.569552488,0.662837163,0.774695081,0.960206048
42,distilbert-base-multilingual-cased,udpos,before_fastalign,1965,1965,31440,31440,0.061631691,0,0.061631691,0.868417705,0.840615582,0.885881231,0.852543202,0.773561443,0.861003477,0.630305853,0.878683947,0.87897835,0.781069959,0.714110279,0.842381344,0.860846766,0.643687269,0.675303415,0.805340224,0.854581316,0.538319908,0.580457309,0.776825221,0.904158046,0.829302861,0.834990945,0.82800441,0.831006935,0.836656442,0.833854241,0.901021745,0.54187643,0.53623383,0.706175993,0.843844719,0.569385194,0.667748918,0.77079925,0.960127404,0.868417705,0.840615582,0.885881231,0.852543202,0.773561443,0.861003477,0.630305853,0.878683947,0.87897835,0.781069959,0.714110279,0.842381344,0.860846766,0.643687269,0.675303415,0.805340224,0.854581316,0.538319908,0.580457309,0.776825221,0.904158046,0.829302861,0.834990945,0.82800441,0.831006935,0.836656442,0.833854241,0.901021745,0.54187643,0.53623383,0.706175993,0.843844719,0.569385194,0.667748918,0.77079925,0.960127404
66,distilbert-base-multilingual-cased,udpos,before_fastalign,1965,1965,31440,31440,0.036379144,0,0.036379144,0.870325617,0.84026035,0.88886239,0.85588523,0.773109244,0.864182812,0.634497749,0.878287546,0.882969171,0.792775492,0.711776986,0.850091639,0.867547097,0.641376123,0.664803839,0.805723036,0.856464049,0.528500192,0.589021153,0.777378319,0.905259294,0.828919007,0.83282368,0.835722161,0.834869634,0.83696319,0.831510158,0.904060781,0.557437071,0.528758784,0.712967263,0.846525997,0.575407779,0.664585415,0.772636713,0.959694861,0.870325617,0.84026035,0.88886239,0.85588523,0.773109244,0.864182812,0.634497749,0.878287546,0.882969171,0.792775492,0.711776986,0.850091639,0.867547097,0.641376123,0.664803839,0.805723036,0.856464049,0.528500192,0.589021153,0.777378319,0.905259294,0.828919007,0.83282368,0.835722161,0.834869634,0.83696319,0.831510158,0.904060781,0.557437071,0.528758784,0.712967263,0.846525997,0.575407779,0.664585415,0.772636713,0.959694861
23,distilbert-base-multilingual-cased,udpos,before_fastalign,1965,1965,31440,31440,0.027465023,0,0.027465023,0.872869499,0.846259182,0.88868352,0.853276818,0.770961299,0.869647293,0.637820214,0.875047396,0.880175596,0.781893004,0.71742601,0.84629969,0.862594679,0.626518753,0.685238498,0.812805053,0.853057199,0.527963176,0.59844138,0.772584808,0.900787559,0.832816606,0.831428317,0.836395933,0.834781845,0.844555215,0.835274897,0.897877915,0.553775744,0.527639765,0.706988623,0.847983213,0.570472606,0.662670663,0.772441528,0.959812827,0.872869499,0.846259182,0.88868352,0.853276818,0.770961299,0.869647293,0.637820214,0.875047396,0.880175596,0.781893004,0.71742601,0.84629969,0.862594679,0.626518753,0.685238498,0.812805053,0.853057199,0.527963176,0.59844138,0.772584808,0.900787559,0.832816606,0.831428317,0.836395933,0.834781845,0.844555215,0.835274897,0.897877915,0.553775744,0.527639765,0.706988623,0.847983213,0.570472606,0.662670663,0.772441528,0.959812827
17,distilbert-base-multilingual-cased,udpos,before_fastalign,1965,1965,31440,31440,0.04603643,0,0.04603643,0.870643602,0.837492981,0.88999523,0.849608738,0.771300448,0.867858917,0.630585313,0.875254214,0.880175596,0.777503429,0.718244709,0.842886937,0.862012041,0.637612256,0.697008185,0.815484735,0.851353774,0.506559264,0.589963175,0.770648968,0.901721952,0.829184752,0.831933023,0.830331986,0.834430691,0.834739264,0.830018469,0.89944983,0.549199085,0.528624502,0.711864407,0.841163441,0.572145546,0.664502165,0.770632401,0.96044198,0.870643602,0.837492981,0.88999523,0.849608738,0.771300448,0.867858917,0.630585313,0.875254214,0.880175596,0.777503429,0.718244709,0.842886937,0.862012041,0.637612256,0.697008185,0.815484735,0.851353774,0.506559264,0.589963175,0.770648968,0.901721952,0.829184752,0.831933023,0.830331986,0.834430691,0.834739264,0.830018469,0.89944983,0.549199085,0.528624502,0.711864407,0.841163441,0.572145546,0.664502165,0.770632401,0.96044198
31,distilbert-base-multilingual-cased,udpos,before_awesome,1965,1965,31440,31440,0.066101693,0,0.066101693,0.871851946,0.843720994,0.884808013,0.853847408,0.77597317,0.86438152,0.641670548,0.87894247,0.880474908,0.785916781,0.715911417,0.843518928,0.864342591,0.642168516,0.662969235,0.814240597,0.854850278,0.536171845,0.584739231,0.775903392,0.90485884,0.838190569,0.834694059,0.838110989,0.835396366,0.848773006,0.829734337,0.900026199,0.554691076,0.528803545,0.702170885,0.847866636,0.577833542,0.667499167,0.773089794,0.959537572,0.871851946,0.843720994,0.884808013,0.853847408,0.77597317,0.86438152,0.641670548,0.87894247,0.880474908,0.785916781,0.715911417,0.843518928,0.864342591,0.642168516,0.662969235,0.814240597,0.854850278,0.536171845,0.584739231,0.775903392,0.90485884,0.838190569,0.834694059,0.838110989,0.835396366,0.848773006,0.829734337,0.900026199,0.554691076,0.528803545,0.702170885,0.847866636,0.577833542,0.667499167,0.773089794,0.959537572
42,distilbert-base-multilingual-cased,udpos,before_awesome,1965,1965,31440,31440,0.059968814,0,0.059968814,0.869626049,0.8401343,0.886179347,0.854173459,0.77691525,0.866070541,0.632976246,0.881889628,0.878279956,0.781618656,0.707888166,0.835492637,0.862691785,0.633584258,0.658312165,0.813953488,0.853953739,0.553970081,0.591504667,0.781434366,0.903390509,0.833407152,0.836297242,0.833578341,0.828285489,0.842331288,0.831510158,0.900445376,0.565675057,0.530191128,0.704608776,0.842270926,0.566959431,0.662420912,0.771824134,0.959812827,0.869626049,0.8401343,0.886179347,0.854173459,0.77691525,0.866070541,0.632976246,0.881889628,0.878279956,0.781618656,0.707888166,0.835492637,0.862691785,0.633584258,0.658312165,0.813953488,0.853953739,0.553970081,0.591504667,0.781434366,0.903390509,0.833407152,0.836297242,0.833578341,0.828285489,0.842331288,0.831510158,0.900445376,0.565675057,0.530191128,0.704608776,0.842270926,0.566959431,0.662420912,0.771824134,0.959812827
66,distilbert-base-multilingual-cased,udpos,before_awesome,1965,1965,31440,31440,0.031133208,0,0.031133208,0.875794963,0.847892101,0.889220129,0.855070101,0.774541207,0.868852459,0.642850489,0.877287925,0.883268482,0.791769547,0.714069344,0.831384693,0.864148378,0.647253038,0.644933672,0.808115609,0.855208894,0.535558113,0.61103023,0.778576696,0.902756457,0.837954351,0.833476828,0.834925885,0.836800983,0.848619632,0.83761898,0.902331674,0.564302059,0.55879325,0.704782912,0.851946841,0.57398578,0.658924409,0.774824886,0.959930793,0.875794963,0.847892101,0.889220129,0.855070101,0.774541207,0.868852459,0.642850489,0.877287925,0.883268482,0.791769547,0.714069344,0.831384693,0.864148378,0.647253038,0.644933672,0.808115609,0.855208894,0.535558113,0.61103023,0.778576696,0.902756457,0.837954351,0.833476828,0.834925885,0.836800983,0.848619632,0.83761898,0.902331674,0.564302059,0.55879325,0.704782912,0.851946841,0.57398578,0.658924409,0.774824886,0.959930793
23,distilbert-base-multilingual-cased,udpos,before_awesome,1965,1965,31440,31440,0.034377657,0,0.034377657,0.871724752,0.846356584,0.886954448,0.851972612,0.778648679,0.866567312,0.636422916,0.875461032,0.880275367,0.783539095,0.714724303,0.835935031,0.858904642,0.636555732,0.6319221,0.813187865,0.853774431,0.535021097,0.595957866,0.778761062,0.900687446,0.839932678,0.831814268,0.836212177,0.827056448,0.845398773,0.830586731,0.89981661,0.558810069,0.518642854,0.702403065,0.847575192,0.56838143,0.656426906,0.770482693,0.960324014,0.871724752,0.846356584,0.886954448,0.851972612,0.778648679,0.866567312,0.636422916,0.875461032,0.880275367,0.783539095,0.714724303,0.835935031,0.858904642,0.636555732,0.6319221,0.813187865,0.853774431,0.535021097,0.595957866,0.778761062,0.900687446,0.839932678,0.831814268,0.836212177,0.827056448,0.845398773,0.830586731,0.89981661,0.558810069,0.518642854,0.702403065,0.847575192,0.56838143,0.656426906,0.770482693,0.960324014
17,distilbert-base-multilingual-cased,udpos,before_awesome,1965,1965,31440,31440,0.037914526,0,0.037914526,0.870580005,0.844712205,0.885463868,0.853847408,0.777668915,0.867660209,0.625523987,0.878459895,0.879976055,0.777686328,0.707806296,0.841243759,0.863662847,0.641442155,0.651199548,0.809646856,0.853505469,0.515841964,0.599725957,0.777378319,0.903757592,0.835857915,0.83261586,0.835905917,0.82758318,0.844248466,0.83435147,0.89981661,0.570251716,0.538874715,0.704260506,0.842270926,0.572731075,0.654262404,0.771171188,0.959537572,0.870580005,0.844712205,0.885463868,0.853847408,0.777668915,0.867660209,0.625523987,0.878459895,0.879976055,0.777686328,0.707806296,0.841243759,0.863662847,0.641442155,0.651199548,0.809646856,0.853505469,0.515841964,0.599725957,0.777378319,0.903757592,0.835857915,0.83261586,0.835905917,0.82758318,0.844248466,0.83435147,0.89981661,0.570251716,0.538874715,0.704260506,0.842270926,0.572731075,0.654262404,0.771171188,0.959537572
