seed,model,task,method,finetuning_steps,realignment_steps,distinct_realignment_samples,repeated_realignment_samples,train_loss,realignment_loss,task_loss,eval_bg_accuracy,eval_cs_accuracy,eval_de_accuracy,eval_es_accuracy,eval_lv_accuracy,eval_af_accuracy,eval_ar_accuracy,eval_ca_accuracy,eval_da_accuracy,eval_el_accuracy,eval_fa_accuracy,eval_fi_accuracy,eval_fr_accuracy,eval_he_accuracy,eval_hi_accuracy,eval_hu_accuracy,eval_it_accuracy,eval_ja_accuracy,eval_ko_accuracy,eval_lt_accuracy,eval_no_accuracy,eval_pl_accuracy,eval_pt_accuracy,eval_ro_accuracy,eval_ru_accuracy,eval_sk_accuracy,eval_sl_accuracy,eval_sv_accuracy,eval_ta_accuracy,eval_th_accuracy,eval_tr_accuracy,eval_uk_accuracy,eval_vi_accuracy,eval_zh_accuracy,eval_avg_accuracy,eval_same_accuracy,final_eval_bg_accuracy,final_eval_cs_accuracy,final_eval_de_accuracy,final_eval_es_accuracy,final_eval_lv_accuracy,final_eval_af_accuracy,final_eval_ar_accuracy,final_eval_ca_accuracy,final_eval_da_accuracy,final_eval_el_accuracy,final_eval_fa_accuracy,final_eval_fi_accuracy,final_eval_fr_accuracy,final_eval_he_accuracy,final_eval_hi_accuracy,final_eval_hu_accuracy,final_eval_it_accuracy,final_eval_ja_accuracy,final_eval_ko_accuracy,final_eval_lt_accuracy,final_eval_no_accuracy,final_eval_pl_accuracy,final_eval_pt_accuracy,final_eval_ro_accuracy,final_eval_ru_accuracy,final_eval_sk_accuracy,final_eval_sl_accuracy,final_eval_sv_accuracy,final_eval_ta_accuracy,final_eval_th_accuracy,final_eval_tr_accuracy,final_eval_uk_accuracy,final_eval_vi_accuracy,final_eval_zh_accuracy,final_eval_avg_accuracy,final_eval_same_accuracy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,xlm-roberta-base,udpos,before_fastalign,1970,1970,31520,31520,0.1205182,0,0.1205182,0.887814805,0.867144527,0.896196041,0.867949136,0.859124143,0.886040735,0.663122552,0.891931953,0.896937045,0.8454637,0.754881493,0.881375213,0.874830064,0.672544746,0.729579452,0.845248349,0.865531152,0.551480743,0.650252633,0.863753687,0.919208436,0.85175234,0.841814619,0.867495712,0.858786335,0.859892638,0.861760318,0.91537857,0.635364178,0.678568229,0.72353146,0.856176762,0.645754914,0.72121868,0.808467805,0.96645826,0.887814805,0.867144527,0.896196041,0.867949136,0.859124143,0.886040735,0.663122552,0.891931953,0.896937045,0.8454637,0.754881493,0.881375213,0.874830064,0.672544746,0.729579452,0.845248349,0.865531152,0.551480743,0.650252633,0.863753687,0.919208436,0.85175234,0.841814619,0.867495712,0.858786335,0.859892638,0.861760318,0.91537857,0.635364178,0.678568229,0.72353146,0.856176762,0.645754914,0.72121868,0.808467805,0.96645826
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,xlm-roberta-base,udpos,before_fastalign,1970,1970,31520,31520,0.092911437,0,0.092911437,0.896654795,0.8767533,0.902277606,0.868193675,0.859501018,0.887630402,0.664272835,0.89255244,0.899032226,0.853062346,0.759711818,0.882133603,0.87415032,0.656495608,0.705447361,0.84821514,0.867682654,0.548642013,0.649139334,0.86255531,0.920977107,0.860167114,0.840241078,0.874785592,0.869939405,0.869248466,0.867088158,0.917893634,0.630783326,0.676686677,0.731657766,0.863755611,0.640066918,0.70590194,0.809508723,0.96665487,0.896654795,0.8767533,0.902277606,0.868193675,0.859501018,0.887630402,0.664272835,0.89255244,0.899032226,0.853062346,0.759711818,0.882133603,0.87415032,0.656495608,0.705447361,0.84821514,0.867682654,0.548642013,0.649139334,0.86255531,0.920977107,0.860167114,0.840241078,0.874785592,0.869939405,0.869248466,0.867088158,0.917893634,0.630783326,0.676686677,0.731657766,0.863755611,0.640066918,0.70590194,0.809508723,0.96665487
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,xlm-roberta-base,udpos,before_fastalign,1970,1970,31520,31520,0.091329269,0,0.091329269,0.891249046,0.87125275,0.899415693,0.865340724,0.85795583,0.889319424,0.640085805,0.895396336,0.899231767,0.852238396,0.744975234,0.883207988,0.877646145,0.666204346,0.721648321,0.847640923,0.866337965,0.528924352,0.636464845,0.862370944,0.916205032,0.85260858,0.841666172,0.863513845,0.868183016,0.862806748,0.86069475,0.917736442,0.634448007,0.666562136,0.72341537,0.856001866,0.643161857,0.712061933,0.806352135,0.965986395,0.891249046,0.87125275,0.899415693,0.865340724,0.85795583,0.889319424,0.640085805,0.895396336,0.899231767,0.852238396,0.744975234,0.883207988,0.877646145,0.666204346,0.721648321,0.847640923,0.866337965,0.528924352,0.636464845,0.862370944,0.916205032,0.85260858,0.841666172,0.863513845,0.868183016,0.862806748,0.86069475,0.917736442,0.634448007,0.666562136,0.72341537,0.856001866,0.643161857,0.712061933,0.806352135,0.965986395
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,xlm-roberta-base,udpos,before_fastalign,1970,1970,31520,31520,0.124516055,0,0.124516055,0.89353854,0.873928539,0.901383258,0.867134007,0.859727143,0.884550422,0.667506062,0.89020838,0.898234062,0.854344045,0.753162225,0.880427226,0.876772189,0.673865663,0.722099915,0.849650684,0.867503362,0.558615928,0.651109018,0.865781711,0.919275179,0.857893649,0.840923936,0.871845136,0.871695793,0.86357362,0.862612773,0.919203563,0.6408612,0.671266016,0.727652658,0.867195243,0.647093266,0.710896529,0.810633263,0.967008769,0.89353854,0.873928539,0.901383258,0.867134007,0.859727143,0.884550422,0.667506062,0.89020838,0.898234062,0.854344045,0.753162225,0.880427226,0.876772189,0.673865663,0.722099915,0.849650684,0.867503362,0.558615928,0.651109018,0.865781711,0.919275179,0.857893649,0.840923936,0.871845136,0.871695793,0.86357362,0.862612773,0.919203563,0.6408612,0.671266016,0.727652658,0.867195243,0.647093266,0.710896529,0.810633263,0.967008769
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,xlm-roberta-base,udpos,before_fastalign,1970,1970,31520,31520,0.086214237,0,0.086214237,0.893284152,0.86972864,0.901204388,0.868927291,0.858295018,0.885345256,0.664894609,0.895275686,0.898134291,0.851139797,0.745793933,0.88086962,0.87415032,0.680272109,0.718543607,0.848119437,0.86580009,0.553322081,0.643744112,0.86255531,0.919675632,0.849921757,0.83801437,0.873131585,0.868534293,0.855828221,0.859273993,0.91684569,0.644067797,0.674894723,0.733747388,0.860549175,0.64642409,0.714309498,0.809253469,0.967873855,0.893284152,0.86972864,0.901204388,0.868927291,0.858295018,0.885345256,0.664894609,0.895275686,0.898134291,0.851139797,0.745793933,0.88086962,0.87415032,0.680272109,0.718543607,0.848119437,0.86580009,0.553322081,0.643744112,0.86255531,0.919675632,0.849921757,0.83801437,0.873131585,0.868534293,0.855828221,0.859273993,0.91684569,0.644067797,0.674894723,0.733747388,0.860549175,0.64642409,0.714309498,0.809253469,0.967873855
