seed,model,task,method,finetuning_steps,realignment_steps,distinct_realignment_samples,repeated_realignment_samples,train_loss,realignment_loss,task_loss,eval_bg_accuracy,eval_cs_accuracy,eval_de_accuracy,eval_es_accuracy,eval_lv_accuracy,eval_af_accuracy,eval_ar_accuracy,eval_ca_accuracy,eval_da_accuracy,eval_el_accuracy,eval_fa_accuracy,eval_fi_accuracy,eval_fr_accuracy,eval_he_accuracy,eval_hi_accuracy,eval_hu_accuracy,eval_it_accuracy,eval_ja_accuracy,eval_ko_accuracy,eval_lt_accuracy,eval_no_accuracy,eval_pl_accuracy,eval_pt_accuracy,eval_ro_accuracy,eval_ru_accuracy,eval_sk_accuracy,eval_sl_accuracy,eval_sv_accuracy,eval_ta_accuracy,eval_th_accuracy,eval_tr_accuracy,eval_uk_accuracy,eval_vi_accuracy,eval_zh_accuracy,eval_avg_accuracy,eval_same_accuracy,final_eval_bg_accuracy,final_eval_cs_accuracy,final_eval_de_accuracy,final_eval_es_accuracy,final_eval_lv_accuracy,final_eval_af_accuracy,final_eval_ar_accuracy,final_eval_ca_accuracy,final_eval_da_accuracy,final_eval_el_accuracy,final_eval_fa_accuracy,final_eval_fi_accuracy,final_eval_fr_accuracy,final_eval_he_accuracy,final_eval_hi_accuracy,final_eval_hu_accuracy,final_eval_it_accuracy,final_eval_ja_accuracy,final_eval_ko_accuracy,final_eval_lt_accuracy,final_eval_no_accuracy,final_eval_pl_accuracy,final_eval_pt_accuracy,final_eval_ro_accuracy,final_eval_ru_accuracy,final_eval_sk_accuracy,final_eval_sl_accuracy,final_eval_sv_accuracy,final_eval_ta_accuracy,final_eval_th_accuracy,final_eval_tr_accuracy,final_eval_uk_accuracy,final_eval_vi_accuracy,final_eval_zh_accuracy,final_eval_avg_accuracy,final_eval_same_accuracy
17,xlm-roberta-base,udpos,baseline,1970,0,0,0,0.08232937753200531,0,0.08232937753200531,0.8871788349020605,0.8556105610561056,0.8919031719532554,0.8663188783827844,0.8595010175623728,0.8828614008941877,0.6223341416402413,0.8941898343646048,0.8993315374638332,0.8587384418200128,0.7685947030169061,0.885672754850534,0.8698776461448825,0.6675913083680074,0.6964719164549816,0.8552971576227391,0.8656207978484984,0.5715052938468621,0.6652393594245097,0.8597898230088495,0.9178068477607956,0.8387315834538959,0.8401816994240247,0.8711100220534183,0.8777553350311759,0.8515337423312883,0.8592739930382894,0.9142258318050824,0.6220797068254695,0.6830929128214318,0.7378685860227536,0.8603159797120037,0.6406524466750314,0.7088154499292433,0.8072668446326511,0.9668908025638,0.8871788349020605,0.8556105610561056,0.8919031719532554,0.8663188783827844,0.8595010175623728,0.8828614008941877,0.6223341416402413,0.8941898343646048,0.8993315374638332,0.8587384418200128,0.7685947030169061,0.885672754850534,0.8698776461448825,0.6675913083680074,0.6964719164549816,0.8552971576227391,0.8656207978484984,0.5715052938468621,0.6652393594245097,0.8597898230088495,0.9178068477607956,0.8387315834538959,0.8401816994240247,0.8711100220534183,0.8777553350311759,0.8515337423312883,0.8592739930382894,0.9142258318050824,0.6220797068254695,0.6830929128214318,0.7378685860227536,0.8603159797120037,0.6406524466750314,0.7088154499292433,0.8072668446326511,0.9668908025638
23,xlm-roberta-base,udpos,baseline,1970,0,0,0,0.1336580067873001,0,0.1336580067873001,0.8899135080132282,0.8652078749541621,0.8893989983305509,0.8676230844473427,0.8657948292756463,0.8859413810233482,0.644500404153454,0.8890191144280322,0.9035218996308492,0.855534193902774,0.775512710303328,0.8809328193136573,0.871722664595067,0.6904431675582855,0.6914197008185153,0.8507034165948895,0.8640968175705962,0.5429645542427497,0.6676372355913334,0.8659660766961652,0.9210438496963224,0.8400011810209926,0.8430318864675495,0.8677407498162215,0.874154737858962,0.8578987730061349,0.8641045677346025,0.9172648676971444,0.6133760879523591,0.693844637577278,0.7298583700951938,0.8628811286655396,0.6532831451275617,0.710064097228003,0.809011839158466,0.9677165663953444,0.8899135080132282,0.8652078749541621,0.8893989983305509,0.8676230844473427,0.8657948292756463,0.8859413810233482,0.644500404153454,0.8890191144280322,0.9035218996308492,0.855534193902774,0.775512710303328,0.8809328193136573,0.871722664595067,0.6904431675582855,0.6914197008185153,0.8507034165948895,0.8640968175705962,0.5429645542427497,0.6676372355913334,0.8659660766961652,0.9210438496963224,0.8400011810209926,0.8430318864675495,0.8677407498162215,0.874154737858962,0.8578987730061349,0.8641045677346025,0.9172648676971444,0.6133760879523591,0.693844637577278,0.7298583700951938,0.8628811286655396,0.6532831451275617,0.710064097228003,0.809011839158466,0.9677165663953444
66,xlm-roberta-base,udpos,baseline,1970,0,0,0,0.09431235492229462,0,0.09431235492229462,0.891694225387942,0.8732180509717639,0.8822442165513952,0.8602054124551679,0.8634958920630135,0.8823646299056135,0.6323136230802711,0.8908116306727106,0.9026239648807742,0.8355763068754005,0.7791968561955054,0.8866839410984011,0.8674499902893765,0.6971798428109107,0.7174710697149308,0.8565412958177816,0.8596145226355895,0.5570814792082246,0.6728611800976279,0.8684550147492626,0.9192418073816992,0.8543801116064837,0.8400332521821745,0.8651678510169076,0.8730130850970405,0.8678680981595092,0.8695034453363643,0.920094314906995,0.614292258360055,0.6889167637308485,0.7224286045971674,0.8625896344662741,0.6526976160602258,0.7182219262465662,0.8101627033708815,0.966261649168338,0.891694225387942,0.8732180509717639,0.8822442165513952,0.8602054124551679,0.8634958920630135,0.8823646299056135,0.6323136230802711,0.8908116306727106,0.9026239648807742,0.8355763068754005,0.7791968561955054,0.8866839410984011,0.8674499902893765,0.6971798428109107,0.7174710697149308,0.8565412958177816,0.8596145226355895,0.5570814792082246,0.6728611800976279,0.8684550147492626,0.9192418073816992,0.8543801116064837,0.8400332521821745,0.8651678510169076,0.8730130850970405,0.8678680981595092,0.8695034453363643,0.920094314906995,0.614292258360055,0.6889167637308485,0.7224286045971674,0.8625896344662741,0.6526976160602258,0.7182219262465662,0.8101627033708815,0.966261649168338
42,xlm-roberta-base,udpos,baseline,1970,0,0,0,0.09736569970846176,0,0.09736569970846176,0.8999618417705418,0.865379767143381,0.8913665633198188,0.8689272905119009,0.8556568930428884,0.8891207153502235,0.6324379779891811,0.8969992588634758,0.9062157038810736,0.8442735512221917,0.7622907200458472,0.8871895342223346,0.8710429209555254,0.6685819959051582,0.7291560824160316,0.8537659106134559,0.860690273419991,0.5501764615620685,0.6547058319773914,0.8609882005899705,0.9155376092905292,0.8498627063096047,0.8401520099756546,0.8712325410438618,0.8745938350750856,0.8620398773006135,0.8666619308091212,0.9124967251768404,0.613834173156207,0.6904399247379267,0.7285233341072672,0.8655045764589284,0.6421580928481807,0.7147257138100391,0.8087261924971269,0.9683457197908064,0.8999618417705418,0.865379767143381,0.8913665633198188,0.8689272905119009,0.8556568930428884,0.8891207153502235,0.6324379779891811,0.8969992588634758,0.9062157038810736,0.8442735512221917,0.7622907200458472,0.8871895342223346,0.8710429209555254,0.6685819959051582,0.7291560824160316,0.8537659106134559,0.860690273419991,0.5501764615620685,0.6547058319773914,0.8609882005899705,0.9155376092905292,0.8498627063096047,0.8401520099756546,0.8712325410438618,0.8745938350750856,0.8620398773006135,0.8666619308091212,0.9124967251768404,0.613834173156207,0.6904399247379267,0.7285233341072672,0.8655045764589284,0.6421580928481807,0.7147257138100391,0.8087261924971269,0.9683457197908064
31,xlm-roberta-base,udpos,baseline,1970,0,0,0,0.10555946826934814,0,0.10555946826934814,0.8976087509539558,0.8729143747708105,0.8937514905795373,0.8701499836974242,0.8567121429109822,0.8820665673124689,0.6288938630852453,0.9007566486840518,0.8982340616581862,0.8481186487228783,0.7685947030169061,0.8743601087025217,0.8732763643425908,0.6636285582194043,0.7230595540502399,0.8440999138673557,0.8594352308381892,0.6045726561301212,0.6570180697096857,0.8622787610619469,0.9195755189214444,0.8562697451947209,0.8437147437800606,0.87221269296741,0.8678317379467814,0.8732361963190184,0.8702848618313561,0.916321718627194,0.6046724690792488,0.6927694651016933,0.7181913164615742,0.8586253133562642,0.6484316185696362,0.7157246316490469,0.8099233082976455,0.9675199559592624,0.8976087509539558,0.8729143747708105,0.8937514905795373,0.8701499836974242,0.8567121429109822,0.8820665673124689,0.6288938630852453,0.9007566486840518,0.8982340616581862,0.8481186487228783,0.7685947030169061,0.8743601087025217,0.8732763643425908,0.6636285582194043,0.7230595540502399,0.8440999138673557,0.8594352308381892,0.6045726561301212,0.6570180697096857,0.8622787610619469,0.9195755189214444,0.8562697451947209,0.8437147437800606,0.87221269296741,0.8678317379467814,0.8732361963190184,0.8702848618313561,0.916321718627194,0.6046724690792488,0.6927694651016933,0.7181913164615742,0.8586253133562642,0.6484316185696362,0.7157246316490469,0.8099233082976455,0.9675199559592624
17,xlm-roberta-base,udpos,before_fastalign,1970,1970,31520,31520,0.06530033051967621,0,0.06530033051967621,0.891694225387942,0.8718486431976531,0.9015621273551157,0.868845777632866,0.8583327052084119,0.8855439642324888,0.6671019088478518,0.8947241420913838,0.8981342911304001,0.8537031950929231,0.7470629170248475,0.8803008279087404,0.874150320450573,0.6781586420976158,0.7104713519616145,0.8460139726289597,0.864007171671896,0.5395120454196717,0.6395478290656846,0.8610803834808259,0.9191750650737502,0.8512799315007824,0.8402707677691349,0.8719063954913011,0.8662509879687362,0.8594325153374233,0.8622575832918946,0.9164265129682996,0.635822262940907,0.6735059582474688,0.725330856744834,0.8607240715909753,0.6419071518193225,0.7096478814617497,0.8078157171792366,0.9680704651802916,0.891694225387942,0.8718486431976531,0.9015621273551157,0.868845777632866,0.8583327052084119,0.8855439642324888,0.6671019088478518,0.8947241420913838,0.8981342911304001,0.8537031950929231,0.7470629170248475,0.8803008279087404,0.874150320450573,0.6781586420976158,0.7104713519616145,0.8460139726289597,0.864007171671896,0.5395120454196717,0.6395478290656846,0.8610803834808259,0.9191750650737502,0.8512799315007824,0.8402707677691349,0.8719063954913011,0.8662509879687362,0.8594325153374233,0.8622575832918946,0.9164265129682996,0.635822262940907,0.6735059582474688,0.725330856744834,0.8607240715909753,0.6419071518193225,0.7096478814617497,0.8078157171792366,0.9680704651802916
23,xlm-roberta-base,udpos,before_fastalign,1970,1970,31520,31520,0.10369166731834412,0,0.10369166731834412,0.8915034342406513,0.8701411807847451,0.8986405914619604,0.8660743397456798,0.8587472676565916,0.8856433184302037,0.6564695641360443,0.8911563453351489,0.8997306195749776,0.8460130000915499,0.7478406811576405,0.8804272261897238,0.8772577199456205,0.6730731127402417,0.7245554614733277,0.8502249019044885,0.8627521290900941,0.5596133190118152,0.6496531643401559,0.8639380530973452,0.9186077554561836,0.8570964598895745,0.8431803337093997,0.8697010536633178,0.8649336963203653,0.8582822085889571,0.8593450309014705,0.916583704479958,0.6275767292716445,0.672520383478183,0.7291618295797538,0.8617734507083309,0.6474278544542033,0.7071505868642304,0.8084351914051051,0.9666155479532854,0.8915034342406513,0.8701411807847451,0.8986405914619604,0.8660743397456798,0.8587472676565916,0.8856433184302037,0.6564695641360443,0.8911563453351489,0.8997306195749776,0.8460130000915499,0.7478406811576405,0.8804272261897238,0.8772577199456205,0.6730731127402417,0.7245554614733277,0.8502249019044885,0.8627521290900941,0.5596133190118152,0.6496531643401559,0.8639380530973452,0.9186077554561836,0.8570964598895745,0.8431803337093997,0.8697010536633178,0.8649336963203653,0.8582822085889571,0.8593450309014705,0.916583704479958,0.6275767292716445,0.672520383478183,0.7291618295797538,0.8617734507083309,0.6474278544542033,0.7071505868642304,0.8084351914051051,0.9666155479532854
66,xlm-roberta-base,udpos,before_fastalign,1970,1970,31520,31520,0.08973189443349838,0,0.08973189443349838,0.8870516408038667,0.8662449578291163,0.8961960410207489,0.8636289533746332,0.8557699555287556,0.8878291107799304,0.6437542746999938,0.8925007325186577,0.8992317669360471,0.85214684610455,0.7488231200622212,0.8805536244707072,0.8750242765585551,0.6714219668449904,0.7139712108382726,0.8465881902574409,0.8632003585835948,0.5262390670553936,0.635094630470155,0.8597898230088495,0.91784021891477,0.8492426702884643,0.8395879104566237,0.8603283508943886,0.8639676824448933,0.8579754601226994,0.8576401221851246,0.9182604139376472,0.6289509848831882,0.6701908431144162,0.7183654515904342,0.8506383722963913,0.643245503973233,0.7076500457837342,0.8043807229009553,0.9670480909126656,0.8870516408038667,0.8662449578291163,0.8961960410207489,0.8636289533746332,0.8557699555287556,0.8878291107799304,0.6437542746999938,0.8925007325186577,0.8992317669360471,0.85214684610455,0.7488231200622212,0.8805536244707072,0.8750242765585551,0.6714219668449904,0.7139712108382726,0.8465881902574409,0.8632003585835948,0.5262390670553936,0.635094630470155,0.8597898230088495,0.91784021891477,0.8492426702884643,0.8395879104566237,0.8603283508943886,0.8639676824448933,0.8579754601226994,0.8576401221851246,0.9182604139376472,0.6289509848831882,0.6701908431144162,0.7183654515904342,0.8506383722963913,0.643245503973233,0.7076500457837342,0.8043807229009553,0.9670480909126656
42,xlm-roberta-base,udpos,before_fastalign,1970,1970,31520,31520,0.09244354814291,0,0.09244354814291,0.8944288984991097,0.8753896222955629,0.902814214166468,0.8686827518747963,0.8591241426094822,0.8858420268256334,0.6565317415904993,0.8905703304090039,0.8999301606305498,0.8526045958070128,0.756437021572721,0.8804904253302155,0.8753155952612157,0.6676573542038174,0.709031893875247,0.8501291989664083,0.8650829224562976,0.5589228172471996,0.6509377408580971,0.8650442477876106,0.9198091169992658,0.8607576249667838,0.8395582210082536,0.8720901739769664,0.8707297795731975,0.8674079754601227,0.8660936279036726,0.9181556195965418,0.6234539624370132,0.6725651823313323,0.7316577664267472,0.8646300938611322,0.6372229192806357,0.6999916756846749,0.8090909247580378,0.9663402933427706,0.8944288984991097,0.8753896222955629,0.902814214166468,0.8686827518747963,0.8591241426094822,0.8858420268256334,0.6565317415904993,0.8905703304090039,0.8999301606305498,0.8526045958070128,0.756437021572721,0.8804904253302155,0.8753155952612157,0.6676573542038174,0.709031893875247,0.8501291989664083,0.8650829224562976,0.5589228172471996,0.6509377408580971,0.8650442477876106,0.9198091169992658,0.8607576249667838,0.8395582210082536,0.8720901739769664,0.8707297795731975,0.8674079754601227,0.8660936279036726,0.9181556195965418,0.6234539624370132,0.6725651823313323,0.7316577664267472,0.8646300938611322,0.6372229192806357,0.6999916756846749,0.8090909247580378,0.9663402933427706
31,xlm-roberta-base,udpos,before_fastalign,1970,1970,31520,31520,0.12517361342906952,0,0.12517361342906952,0.8883235817858052,0.8649500366703337,0.8956594323873122,0.8674600586892729,0.8594633300670838,0.8869349230004968,0.6490082696014425,0.8920008962581223,0.8983338321859723,0.8466538496749977,0.7590568586516026,0.8809328193136573,0.8747329578558943,0.6697708209497392,0.7410668924640136,0.8477366255144033,0.8652622142536979,0.5593064293386527,0.6511090177271559,0.8611725663716814,0.9199759727691385,0.8525790545926953,0.8429428181224393,0.8670056358735604,0.8601914463862299,0.8531441717791411,0.8623996590182568,0.9166884988210636,0.6316994961062757,0.6719827972403907,0.7271302530763872,0.8559435667230222,0.6434127979924718,0.7004911346041788,0.8077800798784291,0.9670480909126656,0.8883235817858052,0.8649500366703337,0.8956594323873122,0.8674600586892729,0.8594633300670838,0.8869349230004968,0.6490082696014425,0.8920008962581223,0.8983338321859723,0.8466538496749977,0.7590568586516026,0.8809328193136573,0.8747329578558943,0.6697708209497392,0.7410668924640136,0.8477366255144033,0.8652622142536979,0.5593064293386527,0.6511090177271559,0.8611725663716814,0.9199759727691385,0.8525790545926953,0.8429428181224393,0.8670056358735604,0.8601914463862299,0.8531441717791411,0.8623996590182568,0.9166884988210636,0.6316994961062757,0.6719827972403907,0.7271302530763872,0.8559435667230222,0.6434127979924718,0.7004911346041788,0.8077800798784291,0.9670480909126656
